,count,mean,std,min,25%,50%,75%,max
reviews_count,27052.0,13.19628862930652,27.025491717900323,0.0,0.0,3.0,15.0,775.0
rating_avg,16691.0,4.924336468755616,0.19543261783062502,1.0,4.91,5.0,5.0,5.0
reviews_1_count,27052.0,0.05031051308590862,0.2739761534718916,0.0,0.0,0.0,0.0,7.0
reviews_2_count,27052.0,0.07422741386958451,0.38602205313365445,0.0,0.0,0.0,0.0,12.0
reviews_3_count,27052.0,0.15374094336832766,0.6552831511281367,0.0,0.0,0.0,0.0,16.0
reviews_4_count,27052.0,0.542806446843117,1.760359685019187,0.0,0.0,0.0,0.0,40.0
reviews_5_count,27052.0,12.375203312139583,25.211149782527936,0.0,0.0,2.0,14.0,757.0
about_len,27052.0,1009.0918231554044,991.4488760907276,0.0,380.0,783.0,1346.0,26962.0
education_count,27052.0,1.971166642022771,2.45679467582022,0.0,1.0,1.0,2.0,79.0
experience_count,27052.0,2.1924811474197843,1.3367403699510527,1.0,1.0,2.0,3.0,17.0
achievements_count,27052.0,0.855648380896052,1.7811306560958613,0.0,0.0,0.0,1.0,35.0
additional_info_count,27052.0,0.2837498151707822,0.8302338518857294,0.0,0.0,0.0,0.0,20.0
prices_count,27052.0,10.696103800088718,11.584983679636196,0.0,4.0,8.0,14.0,211.0
